id,complaint_text,intended_urgency,intended_emotion,scenario,style,profile,history
1,"I have reached out multiple times regarding poor network coverage that has been affecting my family plan. Despite previous contacts on 15th, 22nd, and 29th September, I have not seen any improvements in the service. I would appreciate an update on whether this issue is being addressed and the timeline for resolution.",Low,Low,Poor Network Coverage,Formal professional,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
2,"I am writing to express my concerns about the difficulties I have encountered while attempting to cancel my service. This is my second attempt to get a resolution, having raised the issue on October 5th. I would appreciate a detailed explanation of the cancellation process and any necessary steps I must take to ensure my service is officially discontinued.",Low,Low,Difficulty Cancelling Service,Verbose and detailed,Student on a tight budget,Second attempt — raised once before with no resolution
3,"As a long-standing customer of over ten years, I would like to inquire about a penalty I recently discovered associated with my loyalty to your services. This is my first contact regarding this specific issue. I hope to gain clarity on why such charges exist and how they can be rectified.",Low,Low,Loyalty Penalty,Polite but firm,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
4,"In reviewing my recent bill, I noticed several hidden fees and charges that were not clearly disclosed. This is my second attempt at resolving this matter after addressing it on September 20th. I rely on this service for my small business and would appreciate a breakdown of these charges.",Low,Low,Hidden Fees & Charges,Casual conversational,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
5,"I would like to formally escalate an issue regarding hidden fees and charges on my account that I have previously raised. I have exhausted all normal communication channels without satisfactory resolution. Given my longstanding loyalty as a customer for over ten years, I am requesting that this matter be reviewed by a manager or the ombudsman.",Low,Low,Hidden Fees & Charges,Legalistic / rights-aware,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
6,"I have been informed that my contract will have a price increase mid-term. As a small business owner, this unexpected adjustment has financial implications. I am raising this issue for the first time and would like to discuss why this change is occurring and if there are options available to prevent it.",Low,Low,Mid-Contract Price Increase,Narrative / storytelling,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
7,"I am requesting progress updates regarding an ongoing issue I have reported multiple times. I have previously contacted your support team on September 18th and 26th, but I have yet to receive any substantial information. Timely updates are appreciated as they help in planning my activities accordingly.",Low,Low,Lack of Progress Updates,Formal professional,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
8,"I need to report an unexpected price increase in my contract that I noticed while reviewing my account. This is my first time addressing this matter, and I would like clarification on the reasons behind this increase and how it may affect my current payment arrangement.",Low,Low,Mid-Contract Price Increase,Narrative / storytelling,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
9,"I have been placed on hold multiple times in recent weeks, with wait times exceeding twenty minutes each call. As a customer for over ten years, I find these prolonged wait times excessive. I am reporting this issue again, having previously contacted customer service on October 5th and 10th.",Low,Low,Long Call-Waiting Times,Casual conversational,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
10,I have encountered consistently slow broadband speeds that are not in line with what was advertised. This is the first time I am contacting you regarding this matter. I would like to request a speed test and any potential solutions or upgrades that may be available.,Low,Low,Slow Broadband Speeds,Formal professional,Student on a tight budget,First contact — raising the issue for the first time
11,"Following up on my previous contact regarding a lack of progress updates on an issue raised, I would like to record my concern once more. To date, I have not received any information or responses, and would appreciate clarification around the timelines for any expected communication.",Low,Low,Lack of Progress Updates,Terse and minimal,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
12,I have noted discrepancies in the billing amount over the past few months that I believe warrant attention. This is my latest attempt to resolve this issue after previous communications on September 15th and October 1st. I would appreciate a detailed account of my charges and any errors confirmed.,Low,Low,Overcharging & Incorrect Billing,Terse and minimal,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
13,I attended to an unexpected overcharge on my bill that I have previously reported on two occasions prior to this escalation. I would like to have this investigated further as I have not received any satisfactory resolution so far. A review from a manager would be beneficial.,Low,Low,Hidden Fees & Charges,Formal professional,Recently switched from another provider,First contact — raising the issue for the first time
14,I would like to bring to your attention some hidden fees that appeared on my latest bill which were not disclosed initially during my sign-up process. This is my first contact regarding the issue. Clarity on these charges would be appreciated alongside remedies to prevent such occurrences.,Low,Low,Overcharging & Incorrect Billing,Formal professional,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
15,"On September 12th, I reached out regarding slow internet speeds. This is my second attempt to resolve this concern, as I have not received any update or improvement. I rely on internet connectivity for my work, and would appreciate insights into any possible solutions.",Low,Low,Slow Broadband Speeds,Narrative / storytelling,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
16,I attempted to reach customer support regarding lengthy call-waiting times and was informed that I would need to wait over 20 minutes to speak with an agent. This is my second attempt to address this issue as I had previously called last week with no change to wait times.,Low,Low,Long Call-Waiting Times,Terse and minimal,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
17,"I would like to formally address the difficulties I am encountering while trying to cancel my service. As a small business, it is crucial that I navigate this process smoothly. I have not yet received any clear guidance or confirmation on how to proceed and am seeking assistance on this matter.",Low,Low,Difficulty Cancelling Service,Formal professional,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
18,"I have noticed additional charges on my latest bill that were not mentioned in my plan details. This issue has come up several times in the past few weeks, and I have contacted your support team multiple times regarding these hidden fees. I would appreciate clarity on this matter.",Low,Low,Hidden Fees & Charges,Terse and minimal,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
19,"I have recently been informed of a price increase for my service mid-contract, which I find concerning given my long-standing loyalty for over 10 years. I have previously contacted your customer service team for clarification, but the response did not adequately address my situation. I am now escalating this matter and would like to speak to a manager or an ombudsman.",Low,Low,Mid-Contract Price Increase,Polite but firm,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
20,"I have come across policies that impose a higher rate for long-term customers compared to new ones, which I believe is not equitable. I would like to better understand how this loyalty penalty is justified. I have previously raised this issue and would appreciate clarity from a manager or an ombudsman on this policy.",Low,Low,Loyalty Penalty,Casual conversational,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
21,"I am writing to formally express concern about the poor network coverage I have been experiencing in my area, which has been a recurring issue. This matter has been raised during previous conversations, and now I am seeking to discuss my rights as a consumer owing to the continued lack of service quality.",Low,Low,Poor Network Coverage,Legalistic / rights-aware,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
22,I recently reviewed my billing statements and found additional fees that I was not made aware of prior to my last payment. I am raising this issue for the first time and would like more information on how these fees were applied to my account as I am a student managing a limited budget.,Low,Low,Loyalty Penalty,Verbose and detailed,Student on a tight budget,First contact — raising the issue for the first time
23,I have expressed my concerns regarding the price increase that has taken effect while I am still under contract with your service. I have reached out on several occasions over recent weeks only to receive vague responses that have not appropriately addressed my concerns as a parent managing a family plan.,Low,Low,Mid-Contract Price Increase,Legalistic / rights-aware,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
24,"On my last bill, I encountered charges that were not clearly outlined in the initial agreement. This issue has been raised before but remains unresolved. I would like a comprehensive explanation regarding these hidden fees and the rationale behind their application to my account.",Low,Low,Hidden Fees & Charges,Narrative / storytelling,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
25,"I actively sought resolution through your chatbot system, which proved ineffective during my attempts to retrieve accurate information about my account. I have encountered this problem repeatedly and now wish to escalate my inquiry, as this service is crucial for my business.",Low,Low,Ineffective AI / Chatbot Support,Formal professional,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
26,"I recently experienced delays while waiting to connect with your support team, which prolonged the time taken to resolve my service issues. This has happened more than once, which raises concerns about the efficiency of your customer service. I plan to escalate my concerns further if this issue persists.",Low,Low,Long Call-Waiting Times,Verbose and detailed,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
27,I noticed several fees on my latest bill that were not explicitly mentioned in my contract. This is my second complaint regarding this matter as I previously contacted support without receiving satisfactory explanations. I would appreciate a thorough review of my account.,Low,Low,Hidden Fees & Charges,Formal professional,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
28,"I am inquiring about the correct procedure for cancelling my service, as I find the process unclear. As a student managing limited finances, I wish to ensure that I can terminate my service without incurring unexpected charges. This is my first inquiry about this issue.",Low,Low,Difficulty Cancelling Service,Polite but firm,Student on a tight budget,First contact — raising the issue for the first time
29,"I am attempting to cancel my long-standing service, but the process has proven to be more complex than anticipated. I raised my concerns last week, but I have not received a clear resolution or guidance related to cancelling my account.",Low,Low,Difficulty Cancelling Service,Terse and minimal,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
30,I find the absence of updates regarding my ongoing inquiry rather concerning. I previously contacted your support team last week and have not received any follow-up information. My intention is to understand the progress of my case better.,Low,Low,Lack of Progress Updates,Casual conversational,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
31,"I have noticed that my account was auto-renewed without my explicit consent. I have made 4 prior calls to customer service regarding this matter, speaking to Karen each time, and I have yet to receive satisfactory clarification. I would appreciate a prompt review of my account settings to ensure this does not happen again.",Low,Low,Auto-Renewal Without Consent,Polite but firm,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
32,"The handset provided with my family plan is experiencing multiple issues, including intermittent connectivity and difficulty in sending messages. I have already contacted customer service on three different occasions, with no resolution in sight. At this point, I would like to escalate the matter to a manager or perhaps the ombudsman, as I believe these issues are affecting my family's plan significantly.",Low,Low,Faulty Hardware / Handset Issues,Formal professional,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
33,"I am writing to follow up on the issues I've previously raised regarding my faulty handset. It has been unable to receive calls properly. This is my second attempt to resolve this issue, so I would appreciate guidance on how to proceed. Thank you.",Low,Low,Faulty Hardware / Handset Issues,Casual conversational,Student on a tight budget,Second attempt — raised once before with no resolution
34,"I recently switched to your network, but I am experiencing significant coverage problems in my area. Despite four prior contacts with your support team over the last month, the issue remains unresolved. I’m requesting for this matter to be escalated to management for further investigation. Detailed coverage maps would be particularly beneficial for my planning.",Low,Low,Poor Network Coverage,Verbose and detailed,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
35,"My current handset continues to exhibit performance issues, which I have reported previously. It often freezes and fails to respond, leading to disruptions in communication. I have contacted your support team multiple times over several weeks without a resolution. A formal escalation appears necessary to address this matter effectively.",Low,Low,Faulty Hardware / Handset Issues,Formal professional,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
36,"Despite reaching out several times concerning the defects in my device, I still encounter the same problems. The phone's battery life and responsiveness have not improved despite previous assurances during my calls with your support team. I would like to expedite this issue and escalate it to a more senior representative.",Low,Low,Faulty Hardware / Handset Issues,Formal professional,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
37,"Network coverage has been inadequate for my business needs. I previously reported this, but the situation remains unchanged. This is my second follow-up attempt, so I would appreciate further assistance or possibly an alternative solution to improve my service.",Low,Low,Poor Network Coverage,Casual conversational,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
38,"I have yet to receive any progress updates regarding my previous inquiries about my account issue. As a senior customer, navigating the system is challenging. I have contacted support four times over the last month without receiving any confirmations or updates. Clarity regarding my query would be appreciated.",Low,Low,Lack of Progress Updates,Formal professional,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
39,"I've noticed an unexpected price increase in my contract without prior notification. This is my second attempt to inquire about this, and I would like to understand the rationale behind the increase as it influences my budgeting. Detailed documentation on contract terms would be useful.",Low,Low,Mid-Contract Price Increase,Verbose and detailed,Student on a tight budget,Second attempt — raised once before with no resolution
40,"Following my last correspondence regarding the lack of progress on my previous issue, I have received no further updates. I attempted to resolve this with customer service last week but was not provided with any commitments or timelines. Clarity on the next steps would be appreciated.",Low,Low,Lack of Progress Updates,Casual conversational,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
41,"While reviewing my recent bill, I found several charges that were not previously disclosed. Local taxes and fees appear to have increased substantially. This is my second inquiry about these charges, and I would seek a detailed explanation of each item.",Low,Low,Hidden Fees & Charges,Legalistic / rights-aware,Student on a tight budget,Second attempt — raised once before with no resolution
42,The latest bill has both overcharges and charges that do not align with my previous account summary. I have reached out multiple times in the last few weeks but have not been able to achieve resolution. A detailed breakdown of my billing statements and corrections to these discrepancies would be invaluable.,Low,Low,Overcharging & Incorrect Billing,Verbose and detailed,Parent managing a family plan,Second attempt — raised once before with no resolution
