id,complaint_text,intended_urgency,intended_emotion,scenario,style,channel
1,Hi @BroadNetUK — I have been a customer since 2017 (ACC-7291834). I recently contacted customer services on 2026-02-02 and was told a retention discount would be offered but nothing was applied to my bill (account shows standard tariff). I asked for a loyalty adjustment or a clear explanation of why I do not qualify. Please review REF-20260203 and advise whether a retention offer can be applied to my account. Thank you.,Low,Low,Customer loyalty not rewarded / retention offer dispute,Polite but firm,social media
2,"Hello @GlobeTel, I travelled to France 2026-01-12–2026-01-18 and have been charged £9.50 for data despite selecting the roaming add-on before travel. REF-20260125 and ACC-8810921. I called on 2026-01-20 and spoke to Priya who said it would be reversed; as of the 2026-02 bill the charge remains. Please can you confirm your findings and correct the bill when convenient.",Low,Low,Roaming charges / international billing,Polite but firm,social media
3,"Account number: ACC-3344556
Preferred contact: email
Issue: Accessibility - captions and transcripts
Description: I use text-based support for calls and need captioning on voicemail transcripts. On 2026-01-28 I requested transcript formatting to be plain text (support ref REF-20260128-A). The transcripts I received are images and not accessible with my screen reader. Could you update my preferences to plain text and confirm the change? I have time to wait for an update.",Low,Low,Accessibility needs not met,Casual conversational,online form
4,"Dear Support,
I am writing about a recent call on 2026-02-09 (ACC-990112). The advisor I spoke to did not provide the information requested and ended the call early. Please arrange a callback at a convenient time to complete the query. REF-20260209.
Regards,
Sarah C.",Low,Low,Rude or unhelpful customer service,Terse and minimal,email
5,"Account: ACC-5567788
Device: Pixel 6a (IMEI 356789012345678)
Problem: Touchscreen intermittently unresponsive since 2026-01-05. I visited a store on 2026-01-22 and was told it might be a software issue. The device is still under manufacturer warranty. I would like clarification on repair options or a replacement process and an estimated timeline. REF-20260123.",Low,Low,Device / handset fault or warranty dispute,Casual conversational,online form
6,"Account: ACC-220011
Issue: Number porting failed
Details: Requested port from OldNet on 2026-02-01 (port request PR-20260201). Number still with old provider; service interruption minimal but inconvenient. Please confirm status and expected completion date. No urgency; can wait.",Low,Low,Porting / number transfer issues,Terse and minimal,online form
7,"Dear Complaints Team,
Account: ACC-441100
I am writing to formally note an interaction on 2026-01-15 in which the representative, Mr. Ahmed Khan, provided incomplete information regarding my plan migration. I requested written confirmation of next steps and did not receive it. Please provide the requested documentation and a summary of what was discussed. I expect a reply within a reasonable timeframe.
Kind regards,
Eleanor P.
REF-20260116",Low,Low,Rude or unhelpful customer service,Formal professional,email
8,"Hi — I'm on chat because my area (postcode SE15 4AB) had intermittent 4G drops between 2026-01-10 and 2026-01-18. It started fine on the morning of 2026-01-10, then calls often dropped in the afternoons. Signal fluctuated from two bars to no service for short periods. I can provide exact times if helpful; I wanted to log this so you have a record. No immediate need for a fix, just please investigate coverage in the area when you can. ACC-778899.",Low,Low,Network outage / poor coverage,Narrative / storytelling,live chat
9,"Account: ACC-663322
Product: Broadband plus phone
I was sold 'unlimited uploads' by a sales advisor on 2026-01-05 but my upload speed is capped and I now see a policy limiting uploads to a daily quota. The sales advisor's notes (SALE-20260105) indicated no cap. Please review the sales recording and confirm whether the plan was misdescribed and, if so, how this will be corrected.",Low,Low,Mis-selling / misleading sales practices,Casual conversational,online form
10,"Hello,
Account: ACC-775511
I was billed a roaming fee of £7.20 on 2026-01-14 despite being on an international add-on. Please review REF-20260116 and advise corrections. ACC-775511.
Thank you.",Low,Low,Roaming charges / international billing,Terse and minimal,email
11,"@ConnectRight I am aware of my rights under the Consumer Rights Act 2015. My handset (ACC-554433, IMEI 012345678901234) developed a hardware fault on 2025-12-27 and the store declined to repair under warranty on 2026-01-04 citing accidental damage without substantive evidence. Please confirm your warranty position in writing and provide details of the appeals process. REF-20260105. I request a clear next step within 14 days.",Low,Low,Device / handset fault or warranty dispute,Legalistic / rights-aware,social media
12,"Account: ACC-990044
Preferred contact: phone (sms if not available)
Issue: Accessibility support missing
Details: I require large print and TTY-friendly documents for account notices. On 2026-01-19 I received standard-size PDFs which are difficult to read. Please update my account preferences to large print and confirm when this takes effect. REF-20260119.
Thank you.",Low,Low,Accessibility needs not met,Formal professional,online form
13,Hi @SignalWave — I ordered an eSIM on 2026-02-03 (ACC-888003) and the activation QR did not register on my phone. I tried the steps in your guide and restarted the device. No service yet; the order shows active. Any chance you can push the activation or resend the QR? I’m keeping my old SIM in the interim and this is not urgent.,Low,Low,SIM card / eSIM activation problem,Casual conversational,social media
14,"Dear Customer Relations,
Account: ACC-121314
I am writing to report an incident from 2026-01-30 involving my elderly mother, who is registered as a vulnerable customer. She called to discuss a billing query and the advisor ended the call before confirming the next steps. My mother felt unsettled by the abrupt ending. Please let me know what training or process is in place for vulnerable customers and how you will follow up. I am available by email to discuss further. REF-20260131.
Yours sincerely,
Thomas L.",Low,Low,Vulnerable customer mistreatment,Narrative / storytelling,email
15,"Hi, I’ve had three separate issues open (billing query, faulty voicemail, and a SIM swap) over the last month. Account ACC-334211. I called on 2026-01-12, 2026-01-20 and 2026-02-02 and those contacts are logged under REF-20260112, REF-20260120, and REF-20260202. Can we consolidate the outstanding actions and a single expected completion date? I can wait for a coordinated update.",Low,Low,Multiple unresolved issues over time,Polite but firm,live chat
16,"Hello,
Account ACC-556900.
Thanks for the help last week (call ref 20260205). I appreciated the agent's time. Slightly amusingly, I am now being told a different advisor gave a different resolution. If you could please confirm which process will be followed (escalation or refund) and update REF-20260205 accordingly, that would be helpful.
Regards,
M. Patel",Low,Low,Rude or unhelpful customer service,Passive-aggressive / sarcastic,email
